color,title,lowScore,highScore,review
white,Adamant Will,2.5,,"A combat trick that can also stop removal spells and doesn't get blown out by opposing tricks is something you will almost always play, and this is a fine deal at 2 mana. The stats are good enough to take down bigger creatures, and the flexibility really sells this for me."
white,Aven Sentry,2,,"I wouldn't snap this off if I saw it in a pack, but I'm also going to play it more often than not. A 3-power flyer generally gets the job done, and the format would need to be very fast or linear to make this undesirable (and I don't believe either is true)."
white,"Baird, Steward of Argive",3,,"It's not propaganda to say that this ability is extremely annoying for aggro decks, and even against midrange it will greatly impact their decision-making. It forces the opponent to choose between curving out and getting attacks in, and even if it falls off in the late game, it can save you a substantial amount of damage early. Baird is a great addition to any midrange or control deck, though I'm not that high on him for aggro decks."
white,Benalish Honor Guard,1.5,,"A 2/2 that is sometimes a 3/2 is nothing to write home about, though it is worth writing a review of. This will basically play as a Grizzly Bears that occasionally hits for a bit more, and as such, is a typical replacement-level 2-drop. This isn't a build-around, though if you have a ton of legendary creatures, maybe you bump it up a bit in priority."
white,Benalish Marshal,3.5,,"While the casting cost is rough, this has a powerful effect at any stage of the game. You don't need to play this on 3 to get value, and it actually isn't necessarily the play you want to make on turn 3 anyways. Some of the cards in this cycle really want to get played early, but this isn't one of them, and as such it's one of the better triple-colored cards. If you can make a mana base with eleven white sources or so, you are in decent shape to cast this by the time you really want to (turn 5-6)."
white,Blessed Light,3,,"This is the bread-and-butter removal spell that white gets, and you'll always play it, even if it's not exciting. Hitting enchantments is a nice upside, and the first 1-2 of these will make your deck better (even if casting this doesn't make you feel particularly blessed)."
white,Board the Weatherlight,1,,"I am not on board with this plan, as it would take around ten hits before I'd feel comfortable running it (that gives you about an 80% chance). You're already paying 2 mana for card selection, not advantage, and the chance of missing is way worse than the slight quality upgrade you get with this kind of selection. Save this one for Constructed."
white,Call the Cavalry,3,,"This is a solid addition to any deck, and gets even better when you factor in mass pump or sacrifice synergy. 4/4 worth of stats for 4 with a keyword is a great deal, and I'm running this whenever I have it."
white,Charge,1.5,,"You really aren't getting charged much for this, as 1 mana is as cheap as it gets. I wouldn't want to run this in a normal deck, but once your creature count edges toward 17+ and you start making tokens, it becomes very appealing."
white,D'Avenant Trapper,2,,"A creature with solid stats and a good aggressive ability is a welcome addition to any beatdown deck, and you don't need that many historic cards to make this great. Getting one tap out of the deal is enough to make this good, and if you do end up with 8+ cards that trigger it, it could easily be one of the best cards in your deck."
