number,title,lowScore,highScore,set,color,rarity,instant,removal,face,fixing,imageUrl
1,Blade Instructor,2,3,grn,white,common,,,,,images/grn/Blade Instructor.png
2,Bounty Agent,2,,grn,white,rare,,removal,,,images/grn/Bounty Agent.png
3,Candlelight Vigil,1,,grn,white,common,,,,,images/grn/Candlelight Vigil.png
4,Citywide Bust,4,,grn,white,rare,,removal,,,images/grn/Citywide Bust.png
5,Collar the Culprit,3,,grn,white,common,instant,removal,,,images/grn/Collar the Culprit.png
6,Conclave Tribunal,3.5,,grn,white,uncommon,,removal,,,images/grn/Conclave Tribunal.png
7,Crush Contraband,3,3.5,grn,white,uncommon,instant,removal,,,images/grn/Crush Contraband.png
8,Dawn of Hope,3,,grn,white,rare,,,,,images/grn/Dawn of Hope.png
9,Demotion,3.5,,grn,white,uncommon,,removal,,,images/grn/Demotion.png
10,Divine Visitation,4,5,grn,white,mythic,,,,,images/grn/Divine Visitation.png
11,Flight of Equenauts,3,,grn,white,uncommon,,,,,images/grn/Flight of Equenauts.png
12,Gird for Battle,1,,grn,white,uncommon,,,,,images/grn/Gird for Battle.png
13,Haazda Marshal,1,,grn,white,uncommon,,,,,images/grn/Haazda Marshal.png
14,Healer's Hawk,1,2,grn,white,common,,,,,images/grn/Healer's Hawk.png
15,Hunted Witness,1,,grn,white,common,,,,,images/grn/Hunted Witness.png
16,Inspiring Unicorn,3,,grn,white,uncommon,,,,,images/grn/Inspiring Unicorn.png
17,Intrusive Packbeast,2,,grn,white,common,,,,,images/grn/Intrusive Packbeast.png
18,Ledev Guardian,2,,grn,white,common,,,,,images/grn/Ledev Guardian.png
19,Light of the Legion,4,5,grn,white,rare,,,,,images/grn/Light of the Legion.png
20,Loxodon Restorer,2,3,grn,white,common,,,,,images/grn/Loxodon Restorer.png
21,Luminous Bonds,3.5,,grn,white,common,,removal,,,images/grn/Luminous Bonds.png
22,Parhelion Patrol,3,,grn,white,common,,,,,images/grn/Parhelion Patrol.png
23,Righteous Blow,2,3,grn,white,common,instant,removal,,,images/grn/Righteous Blow.png
24,Roc Charger,3.5,,grn,white,uncommon,,,,,images/grn/Roc Charger.png
25,Skyline Scout,1,,grn,white,common,,,,,images/grn/Skyline Scout.png
26,Sunhome Stalwart,3,,grn,white,uncommon,,,,,images/grn/Sunhome Stalwart.png
27,Sworn Companions,2,,grn,white,common,,,,,images/grn/Sworn Companions.png
28,Take Heart,2,,grn,white,common,instant,,,,images/grn/Take Heart.png
29,Tenth District Guard,1,,grn,white,common,,,,,images/grn/Tenth District Guard.png
30,Venerated Loxodon,4,,grn,white,rare,,,,,images/grn/Venerated Loxodon.png
31,Capture Sphere,2,3.5,grn,blue,common,instant,removal,,,images/grn/Capture Sphere.png
32,Chemister's Insight,3,,grn,blue,uncommon,instant,,,,images/grn/Chemister's Insight.png
33,Citywatch Sphinx,3.5,,grn,blue,uncommon,,,,,images/grn/Citywatch Sphinx.png
34,Dazzling Lights,2.5,3.5,grn,blue,common,instant,,,,images/grn/Dazzling Lights.png
35,Devious Cover-Up,1.5,,grn,blue,common,instant,,,,images/grn/Devious Cover-Up.png
36,Dimir Informant,2,2.5,grn,blue,common,,,,,images/grn/Dimir Informant.png
37,Disdainful Stroke,2.5,,grn,blue,common,instant,,,,images/grn/Disdainful Stroke.png
38,Dream Eater,4,4.5,grn,blue,mythic,instant,,,,images/grn/Dream Eater.png
39,Drowned Secrets,1,,grn,blue,rare,,,,,images/grn/Drowned Secrets.png
40,Enhanced Surveillance,3.5,,grn,blue,uncommon,,,,,images/grn/Enhanced Surveillance.png
41,Guild Summit,1,,grn,blue,uncommon,,,,,images/grn/Guild Summit.png
42,Leapfrog,2,,grn,blue,common,,,,,images/grn/Leapfrog.png
43,Maximize Altitude,0,,grn,blue,common,,,,,images/grn/Maximize Altitude.png
44,Mission Briefing,1,,grn,blue,rare,instant,,,,images/grn/Mission Briefing.png
45,Murmuring Mystic,3,,grn,blue,uncommon,,,,,images/grn/Murmuring Mystic.png
46,Muse Drake,2,,grn,blue,common,,,,,images/grn/Muse Drake.png
47,Narcomoeba,0.5,,grn,blue,rare,,,,,images/grn/Narcomoeba.png
48,Nightveil Sprite,2.5,,grn,blue,uncommon,,,,,images/grn/Nightveil Sprite.png
