Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Adanto Vanguard,Ixalan,1W,Creature  - Vampire Soldier,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378922/large/Adanto-Vanguard-Ixalan-Spoiler.png?1505253890,3,,"A 3/1 aggressive beater that's hard to kill is worth a lot, and it can even get indestructible on defense. If your deck isn't interested in attacking, this loses a good amount of value, but it's still probably worth getting in there.",white,xln,1,1,"As long as Adanto Vanguard is attacking, it gets +2/+0. Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Admiral Beckett Brass,Ixalan,1UBR,Legendary Creature  - Human Pirate,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375432/large/142029_200w.jpg?1503948893,1.5,3,"You'd think that I'd be in for a sweet Grixis Pirate lord, but once you get down to brass tacks, this is too much work for too little payoff. Casting a 3-color card is a little easier due to Treasure, but still isn't trivial, and getting through with three Pirates is not easy. In a Pirate deck with good sources of Treasure, I would play the Admiral, but I'm not starting a Draft with her and going for it.",gold,xln,3,3,"Other Pirates you control get +1/+1. At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn."
Admiral's Order,Rivals of Ixalan,1UU,Instant,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421811/large/155626_200w.jpg?1515010924,1.5,,"Cancel isn't a particularly strong card in this format, and letting you cast it for 1 mana during your combat step doesn't make me admire it all that much more.",blue,rix,,,"Raid — If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost. Counter target spell."
Aggressive Urge,Rivals of Ixalan,1G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422010/large/155761_200w.jpg?1515181103,2.5,,"Aggressive Urge is going to drastically impact attacking and blocking over the course of the format. Trading for a trick is one thing, but being down a card is a completely different animal. This is cheap enough that any combats swung by +1/+1 are much sketchier against open green mana, which should lead to a lot more ""no blocks."" When a good combat trick has this potential, it rightfully changes how people play. That said, some decks just don't want tricks, so sometimes this won't make the cut.",green,rix,,,Target creature gets +1/+1 until end of turn. Draw a card.
Air Elemental,Ixalan,3UU,Creature  - Elemental,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379419/large/145739_200w.jpg?1505504599,3.5,,"From the first pack of Revised I ever opened until now, Air Elemental has been a powerhouse. A 4/4 flyer for 5 is a great addition to any Limited deck, and you'll be happy to have it.",blue,xln,4,4,Flying
Ancient Brontodon,Ixalan,6GG,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379420/large/145670_200w.jpg?1505504602,1,,"I get it-this is huge, and dreams of smashing with ginormous Brontodons is very appealing. That doesn't change the fact that this costs 8 mana, has no protection from removal, and does nothing if it gets bounced or killed. If you really need a ramp payoff, certainly nobody else will, and you can pick up ol' bronty just fine.",green,xln,9,9,
"Angrath, Minotaur Pirate",Rivals of Ixalan,4BR,Legendary Planeswalker  - Angrath,Gold,Mythic Rare,,,,,,,,,"+2: Angrath, Minotaur Pirate deals 1 damage to target opponent and each creature that player controls. −3: Return target Pirate card from your graveyard to the battlefield. −11: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power."
"Angrath, the Flame-Chained",Rivals of Ixalan,3BR,Legendary Planeswalker  - Angrath,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421863/large/155674_200w.jpg?1515091896,3.5,,"Angrath delivers a beating on multiple fronts. He can eat small creatures with the -3, set up attacks by stealing big creatures, and can attack their hand with the +1. He does do poorly against big creatures if you don't have a way to defend him, but I count the -3 as enough defense, and he can tick up and be somewhat hard to kill even if they do have a 3/3 or 4/4 out.",gold,rix,,,+1: Each opponent discards a card and loses 2 life. −3: Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. Sacrifice it at the beginning of the next end step if it has converted mana cost 3 or less. −8: Each opponent loses life equal to the number of cards in his or her graveyard.
Angrath's Ambusher,Rivals of Ixalan,2B,Creature  - Orc Pirate,Black,Uncommon,,,,,,,2,3,Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.
Angrath's Fury,Rivals of Ixalan,3BR,Sorcery,Gold,Rare,,,,,,,,,"Destroy target creature. Angrath's Fury deals 3 damage to target player. You may search your library and/or graveyard for a card named Angrath, Minotaur Pirate, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Angrath's Marauders,Ixalan,5RR,Creature  - Human Pirate,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375433/large/142015_200w.jpg?1503948894,2,,"It's pretty odd to have both a 7-mana double striker and a 7-mana double damage creature, but I guess both Pirates and Dinos like doubling. This at least takes effect immediately, opening the door for some sweet alpha strikes if you've got evasive creatures on deck. Still, it's a 7-mana card, and not every deck is in the market for that, on top of the need to have a board presence to begin with in order for this to be good. It is also good with burn spells, which is a nice little upside.",red,xln,4,4,"If a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead."
Anointed Deacon,Ixalan,4B,Creature  - Vampire Cleric,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379421/large/145775_200w.jpg?1505504605,2,,"This is a solid way to top off your curve in an aggressive Vampire deck, and works exceptionally well with 1/1 lifelink tokens. Being able to throw a creature a turn at them and force trades is good, and at the very worst this attacks as a 5/3.",black,xln,3,3,"At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn."
Aquatic Incursion,Rivals of Ixalan,3U,Enchantment,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421812/large/155627_200w.jpg?1515010925,2,,"Paying 4 mana for two 1/1s with hexproof is below the bar, so to make this good you need to care about the fact that they are Merfolk and have use for the activated ability. My guess is that more than half of Merfolk decks fit that description, making this a solid card. The unblockable ability does hand you a good late-game plan, and getting some Merfolk to block with and amp up your tribal synergies is a decent package, all told.",blue,rix,,,"When Aquatic Incursion enters the battlefield, create two 1/1 blue Merfolk creature tokens with hexproof. (They can't be the targets of spells or abilities your opponents control.). {3}{U}: Target Merfolk can't be blocked this turn."
Arcane Adaptation,Ixalan,2U,Enchantment,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375423/large/142001_200w.jpg?1503948874,0.5,,"The uses for this are few and far between. You need to have the odd combination of multiple great tribal payoffs while also failing to have enough ways to fulfill them. Even then, if you draw those payoffs and don't draw Adaptation, or vice versa, your deck doesn't really work. I'd pass on this in all but the strangest circumstances.",blue,xln,,,"As Arcane Adaptation enters the battlefield, choose a creature type. Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield."
Arch of Orazca,Rivals of Ixalan,,Land,Land,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421864/large/155675_200w.jpg?1515091898,2.5,3.5,"If your deck has good mana, this is a card you'll want to play. It isn't zero-cost, but it's a low cost, and has a powerful enough effect that I'm often going to risk it. Cards like this give you a game plan, and you pay so little for that option that I like it, even if it's very slow. Ideally you have a controlling deck, though it could be a way for aggro to re-gas (once again assuming good mana).",gold,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). {T}: Add {C} to your mana pool. {5}, {T}: Draw a card. Activate this ability only if you have the city's blessing."
Arguel's Blood Fast,Ixalan,1B,Legendary Enchantment,Black,Rare,,,,,,,,,"{1}{B}, Pay 2 life: Draw a card. At the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast."
Arterial Flow,Rivals of Ixalan,1BB,Sorcery,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421923/large/155710_200w.jpg?1515173768,2.5,,"This becomes really juicy once you have a Vampire in play, as it's a little thin without one. The format doesn't suggest that discard will be great, so draining for 2 goes a long way. You are affecting the board (essentially) by gaining 2, and that extra life gives you time to take advantage of the 2-for-1 you just got, while also triggering your life gain cards.",black,rix,,,"Each opponent discards two cards. If you control a Vampire, each opponent loses 2 life and you gain 2 life."
Ashes of the Abhorrent,Ixalan,1W,Enchantment,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375424/large/141992_200w.jpg?1503948876,0,,"Gaining a life every time a creature dies isn't abhorrent, but it's not worth a full card either. Given the lack of graveyard interaction in the set, this is a Constructed-only addition (and a welcome one at that-taste it, Dredge).",white,xln,,,"Players can't cast spells from graveyards or activate abilities of cards in graveyards. Whenever a creature dies, you gain 1 life."
Atzocan Archer,Ixalan,2G,Creature  - Human Archer,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379422/large/145726_200w.jpg?1505504608,3,,"I like the combo of a solid defender and a nice little ping ability. This will pick off 2/1s, stop 3/3 flyers, and can even trigger your 2/3 or 3/2 enrage creatures (being able to fight your own creatures is uncommon).",green,xln,1,4,"Reach. When Atzocan Archer enters the battlefield, you may have it fight another target creature. (Each deals damage equal to its power to the other.)"
Atzocan Seer,Rivals of Ixalan,1GW,Creature  - Human Druid,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421813/large/155628_200w.jpg?1515010927,3.5,,"A great mana fixer that has relevant stats and can sacrifice to turn into a Dino is a card I can always see playing. This just ticks all the boxes, and is good even in a deck without Dinosaurs (though much better with a few juicy targets).",gold,rix,2,3,{T}: Add one mana of any color to your mana pool. Sacrifice Atzocan Seer: Return target Dinosaur card from your graveyard to your hand.
Awakened Amalgam,Rivals of Ixalan,4,Artifact Creature  - Golem,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421762/large/155583_200w.jpg?1514916891,1,,"It's really hard to get this to a 4/4, and at 3/3 it just isn't good enough. It's a neat design, and it'll be sweet if it makes it into Constructed.",gold,rix,*,*,Awakened Amalgam's power and toughness are each equal to the number of differently named lands you control.
Axis of Mortality,Ixalan,4WW,Enchantment,White,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379423/large/145683_200w.jpg?1505504610,1,,"While this does force the opponent to kill you in one shot, it's still a 6-mana play that doesn't affect the board. That's a lot of mana to spend without any guarantee of getting value, and in a world without mana burn I'm less inclined to take a shot on this.",white,xln,,,"At the beginning of your upkeep, you may have two target players exchange life totals."
