Card,Set,Mana Cost,Card Type,Color,Rarity,lowScore,highScore,review,power,toughness,text
Hostage Taker,Ixalan,2UB,Creature  - Human Pirate,Gold,Rare,4.5,,"If all this did was exile the target, Hostage Taker would be a prized early pick. Given that she lets you cast it and keep it forever, she's on the short list of best cards in the set. The opponent has maybe one turn to kill her and prevent the blowout, after which you end up insanely far ahead. I would also prioritize ways to get her back from the graveyard, or cards like Siren's Ruse, since the only thing better than taking one hostage is taking two.",2,3,"When Hostage Taker enters the battlefield, exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell."
Ravenous Chupacabra,Rivals of Ixalan,2BB,Creature  - Beast Horror,Black,Uncommon,4.5,,"HAUMPH! This eats anything, with no respect for size, rarity, color, tribe, or anything. With zero work, this is a sick 2-for-1, and one that gives you tempo to boot. With a little effort, you can pick up some graveyard recursion cards and really take your opponent to town. This is in the running for best card in the set, while also being easily the best uncommon.",2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls."
Profane Procession,Rivals of Ixalan,1WB,Legendary Enchantment,Gold,Rare,4,,"Tetzimoc may be better, but I think this is my least favorite card to play against. It's just uber-frustrating to see this in play and know that you are doomed, as they get to kill three of your creatures and then kill you with those creatures. It might be slow enough that it's closer to a 3.5 in Draft, but I can't imagine cutting it from a B/W deck, and I will be taking it early. I've seen it be insane in Sealed every time it's cast, and know it's a windmill slam there. Is the profane part what the opponent thinks when you play this?",,,"{3}{W}{B}: Exile target creature. Then if there are three or more cards exiled with Profane Procession, transform it."
Savage Stomp,Ixalan,2G,Sorcery,Green,Uncommon,4,,"The name is perfect here, as this is both savage and a stomping. If you can play a 4-drop Dinosaur and eat their 4-drop on turn 5, you are almost assuredly going to win, and this even has nice enrage bonuses. This is playable outside of Dinosaurs too, so taking it early can never go wrong.",,,Savage Stomp costs {2} less to cast if it targets a Dinosaur you control. Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.)
Tendershoot Dryad,Rivals of Ixalan,4G,Creature  - Dryad,Green,Rare,4,,"The biggest drawback of this card is that it's a nice tender 2/2, ripe for removal. But if the opponent doesn't have a kill spell, it gets out of control quickly. It makes you ascend almost immediately, and then makes two 3/3s per turn cycle (note that it triggers on their turn too). That's a lot of finishing power and an immediate reward.",2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). At the beginning of each upkeep, create a 1/1 green Saproling creature token. Saprolings you control get +2/+2 as long as you have the city's blessing."
Walk the Plank,Ixalan,BB,Sorcery,Black,Uncommon,4,,"Unless you're unlucky enough to play against the all-Merfolk deck, this is going to be excellent. It's cheap, basically unconditional, and certainly an early pick.",,,Destroy target non-Merfolk creature.
Air Elemental,Ixalan,3UU,Creature  - Elemental,Blue,Uncommon,3.5,,"From the first pack of Revised I ever opened until now, Air Elemental has been a powerhouse. A 4/4 flyer for 5 is a great addition to any Limited deck, and you'll be happy to have it.",4,4,Flying
Bombard,Rivals of Ixalan,2R,Instant,Red,Common,3.5,,"There's not much to say about this one, so I'm not going to bombard you with words. It's an efficient burn spell that kills most things that need killing, and at instant speed.",,,Bombard deals 4 damage to target creature.
Charging Monstrosaur,Ixalan,4R,Creature  - Dinosaur,Red,Uncommon,3.5,,"Ground Rorix has never been so aptly named, as this charges in and puts a beating on the opponent. If you curve into this, you're going to win easily, and even in a not-great draw this carries a lot of weight. It's just too gigantic and runs over chump blockers, making it an awesome threat.",5,5,"Trample, haste"
Contract Killing,Ixalan,3BB,Sorcery,Black,Common,3.5,,"Unconditional kill is a fine deal at 4, so paying 5 and getting two Treasures is a contract worth signing. This is playable in every deck but especially good in ramp, so be on the lookout for that strategy if you can pick up a couple.",,,"Destroy target creature. Create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Crested Herdcaller,Rivals of Ixalan,3GG,Creature  - Dinosaur,Green,Uncommon,3.5,,"Mini-Regisaur Alpha is a premium uncommon, and an easy addition to any green deck. 6/6 worth of stats (with trample) over two cards is a great deal for 5 mana.",3,3,"Trample. When Crested Herdcaller enters the battlefield, create a 3/3 green Dinosaur creature token with trample."
Deeproot Elite,Rivals of Ixalan,1G,Creature  - Merfolk Warrior,Green,Rare,3.5,,"You want a focused deck to really maximize this, but this is a tribal payoff that's more than worth the effort. You only need to generate two counters to be happy, and I can imagine going much deeper than that.",1,1,"Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on target Merfolk you control."
Emperor's Vanguard,Ixalan,3G,Creature  - Human Scout,Green,Rare,3.5,,"This hits pretty hard, as getting through even once adds a ton of value. It's also a solid 4/3 for 4, so you aren't even paying for the ability. I'd take this, and I'd prioritize ways to get it through once I had it.",4,3,"Whenever Emperor's Vanguard deals combat damage to a player, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Famished Paladin,Rivals of Ixalan,1W,Creature  - Vampire Knight,White,Uncommon,3.5,,"Famished Paladin is hungry, yet blocking doesn't seem to bother him. Playing this as a 2-mana 3/3 blocker is great, and if you have a couple incidental sources of life gain, he can bash in for a ton of damage. In a defensive deck, this is playable without life gain, and in an aggressive deck, I'd want 3-4 (including at least one lifelink) before being happy with him.",3,3,"Famished Paladin doesn't untap during your untap step. Whenever you gain life, untap Famished Paladin."
Firecannon Blast,Ixalan,1RR,Sorcery,Red,Common,3.5,,"This is some high-quality removal, and I'm going to have a blast killing my opponent's 6-drops with it. This clears the way early and snipes large things late, which is a very good deal for only 3 mana.",,,Firecannon Blast deals 3 damage to target creature. Raid â€” Firecannon Blast deals 6 damage to that creature instead if you attacked with a creature this turn.
Forerunner of the Legion,Rivals of Ixalan,2W,Creature  - Vampire Knight,White,Uncommon,3.5,,"I'm never going to call this anything but Vampiric Tutor, and I expect to mention it a lot. It's quite good in a dedicated Vamps deck, especially with token making, and becomes absurd once you have a good uncommon or rare Vamp to search for.",2,2,"When Forerunner of the Legion enters the battlefield, you may search your library for a Vampire card, reveal it, then shuffle your library and put that card on top of it. Whenever another Vampire enters the battlefield under your control, target creature gets +1/+1 until end of turn."
