lowScore,review,number,title,set,color,rarity,instant,removal,face,fixing,imageUrl
9,"Once you have three Izzet Guildgates, you can move Niv-Mizzet to a flat 5.0-the mana cost is all that's keeping this back, since it is a harsh one. Niv checks all the boxes I look for in a bomb: Niv-Mizzet may be the best card in the set, assuming you can cast it, so slam this and go looking for Guildgates and Lockets.",192,"Niv-Mizzet, Parun",drn,blue+red,rare,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Niv-Mizzet, Parun.png"
9,"Aurelia gives you everything you want out of a bomb, and for just 4 mana. First of all, her triggered ability happens right away, so you're getting +2/+0 and some keywords. Secondly, she's a 2/5 flyer for 4, which happens to be very appealing stats. Lastly, she has mentor, which means that she generates value every time she swings. Note that she can target herself with her trigger, making her a 4/5 flyer with vigilance, which is perfect for any mentoring you are looking for. I can't think of a better exemplar of a bomb than Aurelia.",153,"Aurelia, Exemplar of Justice",drn,red+white,mythic,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Aurelia, Exemplar of Justice.png"
9,"This shouts more than whispers, as it will end most games where it comes out early (and still seems awesome even late). It's an enormous flyer for cheap, and can find you whatever you need at the low cost of a few life.",69,Doom Whisperer,drn,black,mythic,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Doom Whisperer.png
8,"Getting two copies of your best creature is a very powerful effect, even if there's more than a hint of win-more to this card. If you can stabilize behind something solid, this will give you a ton of power in the late game.",51,Quasiduplicate,drn,blue,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Quasiduplicate.png
7,"Not only is this a cheap 4/4, it also distributes a couple of +1/+1 counters on its way in (up to a full five). That makes this a ton of stats for a very low cost, and one of the better threats you can start a Draft with. This will shine in any deck, and be busted in a curve-out aggro deck.",30,Venerated Loxodon,drn,white,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Venerated Loxodon.png
7,"This is a brutal split card. It's a 2-for-1 later in the game by casting double Raise Dead, something Golgari can use easily, and if needed it's a really powerful sweeper. Giving one of your creatures permanent +2/+2 makes it quite likely to survive the -4/-4, and that's a big enough minus that almost everything else should die. That's a powerful set of cards to be combined, even if both lend themselves to late game play.",225,Find // Finality,drn,black-green,rare,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Find -- Finality.png
7,"I think this card is great. I'm not sure, because it's weird as hell, but it looks like it would be awesome in a deck with a low curve. Getting to play lands off the top helps you multi-spell, and if you ever get stuck with too many cards in hand, you can get rid of this. I definitely am going to need to experiment with this, but I think it's a good one.",99,Experimental Frenzy,drn,red,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Experimental Frenzy.png
6.5,"A 4-mana 6/6 would be a 4.0 already, and this has some nice abilities tacked on. It's not strict upside, as it does limit your ability to cast noncreature spells, but the onus is on the opponent to deal with this rather than you. Plus, if you ever get to put this into play off something like Burglar Rat, the game just ends on the spot.",138,Nullhide Ferox,drn,green,mythic,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Nullhide Ferox.png
6.5,"Underrealm Lich is very hard to kill and gives you consistent draw-fixing as long as it lives. It fuels undergrowth nicely, and acts as a good attacker or good defender as long as your life total isn't too low. The combination of card selection and resiliency makes this a premium card, and one I wouldn't pass up.",211,Underrealm Lich,drn,black+green,mythic,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Underrealm Lich.png
6.5,"A cheap flyer that draws cards every time it hits is right up my alley, and even if they kill this you get to cast the exiled cards. That's a sick ability for how little this costs, and I'm slamming this every time I see it.",205,Thief of Sanity,drn,blue+black,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Thief of Sanity.png
