title,lowScore,highScore,review
Blade Instructor,2,3,
Bounty Agent,2,,
Candlelight Vigil,1,,
Citywide Bust,4,,
Collar the Culprit,3,,
Conclave Tribunal,3.5,,
Crush Contraband,3,3.5,
Dawn of Hope,3,,
Demotion,3.5,,
Divine Visitation,4,5,
Flight of Equenauts,3,,
Gird for Battle,1,,
Haazda Marshal,1,,
Healer's Hawk,1,2,
Hunted Witness,1,,
Inspiring Unicorn,3,,
Intrusive Packbeast,2,,
Ledev Guardian,2,,
Light of the Legion,4,5,
Loxodon Restorer,2,3,
Luminous Bonds,3.5,,
Parhelion Patrol,3,,
Righteous Blow,2,3,
Roc Charger,3.5,,
Skyline Scout,1,,
Sunhome Stalwart,3,,
Sworn Companions,2,,
Take Heart,2,,
Tenth District Guard,1,,
Venerated Loxodon,4,,
Capture Sphere,2,3.5,
Chemister's Insight,3,,
Citywatch Sphinx,3.5,,
Dazzling Lights,2.5,3.5,
Devious Cover-Up,1.5,,
Dimir Informant,2,2.5,
Disdainful Stroke,2.5,,
Dream Eater,4,4.5,
Drowned Secrets,1,,
Enhanced Surveillance,3.5,,
Guild Summit,1,,
Leapfrog,2,,
Maximize Altitude,0,,
Mission Briefing,1,,
Murmuring Mystic,3,,
Muse Drake,2,,
Narcomoeba,0.5,,
Nightveil Sprite,2.5,,
Omnispell Adept,1,,
Passwall Adept,2,3,
Quasiduplicate,3.5,4,
Radical Idea,0.5,,
Selective Snare,2,,
Sinister Sabotage,3,,
Thoughtbound Phantasm,2,2.5,
Unexplained Disappearance,2,,
Vedalken Mesmerist,1,,
Wall of Mist,1,1.5,
Watcher in the Mist,3.5,,
Wishcoin Crab,1,,
Barrier of Bones,1,,
Bartizan Bats,1,2,
Blood Operative,3.5,,
Burglar Rat,1,,
Child of Night,2,,
Creeping Chill,1,,
Dead Weight,3,,
Deadly Visit,3.5,,
Doom Whisperer,5,,
Douser of Lights,2,,
Gruesome Menagerie,1,,
Hired Poisoner,3,,
Kraul Swarm,2,,
Lotleth Giant,2,,
Mausoleum Secrets,3,,
Mephitic Vapors,2,,
Midnight Reaper,2,3,
Moodmark Painter,2.5,,
Necrotic Wound,3.5,,
Never Happened,1,,
Pilfering Imp,2,,
Plaguecrafter,1,,
Price of Fame,4,,
Ritual of Soot,1,,
Severed Strands,2.5,,
Spinal Centipede,2,,
Undercity Necrolisk,2,,
Veiled Shade,1,,
Vicious Rumors,0,,
Whispering Snitch,1,2,
Arclight Phoenix,3,3.5,
Barging Sergeant,2.5,,
Book Devourer,3,3.5,
Command the Storm,3,,
Cosmotronic Wave,3,,
Direct Current,2,2.5,
Electrostatic Field,2,2.5,
Erratic Cyclops,3,4,
Experimental Frenzy,3,,
Fearless Halberdier,1,,
Fire Urchin,2.5,,
Goblin Banneret,1.5,,
Goblin Cratermaker,2.5,,
Goblin Locksmith,0.5,,
Gravitic Punch,2.5,,
Hellkite Whelp,3,,
Inescapable Blaze,3.5,4,
Lava Coil,4,,
Legion Warboss,3.5,4,
Maniacal Rage,1,,
Maximize Velocity,2,,
Ornery Goblin,1,1.5,
Risk Factor,3.5,4,
Rubblebelt Boar,1.5,2,
Runaway Steam-Kin,2.5,3,
Smelt-Ward Minotaur,3,,
Street Riot,1,2,
Sure Strike,2.5,3,
Torch Courier,0.5,1.5,
Wojek Bodyguard,2.5,,
Affectionate Indrik,2.5,3,
Arboretum Elemental,3.5,,
Beast Whisperer,4,,
Bounty of Might,3,,
Circuitous Route,3,,
Crushing Canopy,2.5,,
Devkarin Dissident,1,1.5,
District Guide,2.5,3,
Generous Stray,2,,
Golgari Raiders,2.5,3,
Grappling Sundew,1,1.5,
Hatchery Spider,3.5,,
Hitchclaw Recluse,2,,
Ironshell Beetle,0,1,
Kraul Foragers,2,2.5,
Kraul Harpooner,3,,
Might of the Masses,2,2.5,
Nullhide Ferox,4,,
Pack's Favor,2,,
Pause for Reflection,0.5,1,
Pelt Collector,3,,
Portcullis Vine,1.5,,
Prey Upon,2.5,,
Siege Wurm,3.5,4,
Sprouting Renewal,2,,
Urban Utopia,3,,
Vigorspore Wurm,3,,
Vivid Revival,3,,
Wary Okapi,2,,
Wild Ceratok,1.5,,
Artful Takedown,3.5,,
Assassin's Trophy,4,,
"Aurelia, Exemplar of Justice",4,,
Beacon Bolt,2.5,,
Beamsplitter Mage,2,,
Boros Challenger,2.5,,
Camaraderie,3.5,,
Centaur Peacemaker,3,3.5,
Chance for Glory,0,1,
Charnel Troll,3,,
Conclave Cavalier,3.5,4,
Conclave Guildmage,2.5,,
Crackling Drake,2.5,3,
Darkblade Agent,3,,
Deafening Clarion,1,,
Dimir Spybug,3,3.5,
Disinformation Campaign,3,,
"Emmara, Soul of the Accord",3.5,,
Erstwhile Trooper,1,1.5,
"Etrata, the Silencer",4,,
Firemind's Research,1,,
Garrison Sergeant,2.5,,
Glowspore Shaman,2,2.5,
Goblin Electromancer,3,,
Golgari Findbroker,3.5,,
