title,imageUrl,lowScore,highScore,review,color,set,rarity,instant,removal
Anointed Deacon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379421/large/145775_200w.jpg?1505504605,2,,"This is a solid way to top off your curve in an aggressive Vampire deck, and works exceptionally well with 1/1 lifelink tokens. Being able to throw a creature a turn at them and force trades is good, and at the very worst this attacks as a 5/3.",black,xln,,,
Bishop of the Bloodstained,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378913/large/bishop.png?1505510095,1.5,3,"In a deck with a light Vampire theme, this doesn't do a lot. It's passable, but you really want to make a huge bloody mess, not just sprinkle a little onto the ground. In a dedicated Vampire deck, this looks like an awesome finisher, and I can imagine it doing 4+ damage easily. Make those tokens and reap the rewards.",black,xln,,,
Blight Keeper,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379425/large/145777_200w.jpg?1505504617,1,,"Here's one of the 1/1 flyers for 1 that I try to keep you from playing. I can see this being playable in a raid deck, but outside of that it doesn't do enough early and the ability is too expensive to rely on later.",black,xln,,,
Bloodcrazed Paladin,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375435/large/142008_200w.jpg?1503948898,3,,"Off just one trade, this is a 3/3 for 2 mana, and that's not all that hard to accomplish. If you can go bigger than that, you are really doing it, and with some clever maneuvering, you can get a very good deal.",black,xln,,,
Boneyard Parley,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375436/large/142009_200w.jpg?1503948900,3,,"Zombie or Fiction seems like a good card to me. It does cost 7 and requires there to have been five creatures killed, but by the time you can cast it that doesn't seem like too tall an order. At that point, you either get two good creatures or three decent ones, assuming the creatures that have died aren't all abysmal. I think that's worth 7 mana and at the top end of a control curve, it could help finish games. You can actually cast it with fewer than five creatures, but it loses a lot of value at that point.",black,xln,,,
Contract Killing,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379524/large/145779_200w.jpg?1505504808,3.5,,"Unconditional kill is a fine deal at 4, so paying 5 and getting two Treasures is a contract worth signing. This is playable in every deck but especially good in ramp, so be on the lookout for that strategy if you can pick up a couple.",black,xln,,,
Costly Plunder,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379525/large/145780_200w.jpg?1505504810,1,,"This is a little too much work to draw two cards, and I love drawing two cards. Sacrificing a Treasure token is cute, and eating Vampire tokens is fine, but I'm not looking to run this very often. I do like siding it against Aura-based removal, so keep that in mind.",black,xln,,,
Dark Nourishment,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379526/large/145781_200w.jpg?1505504811,3,,"Dark Nourishment at uncommon is a bit surprising, but it's still a fine removal spell and you'll always play it. Being an instant is a relevant upgrade over similar cards we've seen in the past, and against all of the non-Dinosaur decks this should kill whatever needs killing.",black,xln,,,
Deadeye Tormentor,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376304/large/144533_200w.jpg?1504290496,2,,"If you can reliably attack and trigger this, it's both efficient and annoying for your opponent. I wouldn't be dead set on playing it in a midrange deck, and likely wouldn't play it in a control deck, because missing the raid trigger makes this the height of mediocrity.",black,xln,,,
Deadeye Tracker,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375440/large/142010_200w.jpg?1503948909,3.5,,"All this needs is a little action, and then it can start to go on all sorts of expeditions. With Deadeye Tracker in play, you are by default winning the war of attrition, making it a must-kill threat in all but the fastest games. That's a great deal for just 1 mana, and I'm likely to slam this anytime I have the option to.",black,xln,,,
Deathless Ancient,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377532/large/144791_200w.jpg?1504650137,3,,"Overpaying by 1 mana isn't too bad when you factor in the ability to rise from the grave. In a dedicated Vampire deck this is the perfect finisher, and given all the ways to make tokens, it seems like it shouldn't be too hard to assemble the necessary squad. I'd still play this outside of a Vampire deck if you are lacking finishers, though it does lose a lot of its luster.",black,xln,,,
Desperate Castaways,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379440/large/145782_200w.jpg?1505504662,2,,"These work well in a defensive deck and are roused to fight at the sight of Treasure, which makes them good in most U/B decks as well. I'm not desperate to pick them up, but I'll be happy to play them more often than not. Later in the Draft, their value can increase as well if you've got a lot of artifacts or are lacking 2s.",black,xln,,,
Dire Fleet Hoarder,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379441/large/145783_200w.jpg?1505504664,2,,"Decks that want 2/1s don't usually have a super high curve, but Treasure is valuable for every deck, even if it's better with 6+ drops. This looks like a solid way to make sure you have early plays, and has decent value up until the very late game.",black,xln,,,
Dire Fleet Interloper,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379527/large/145784_200w.jpg?1505504813,2.5,,"I'm a huge fan of all of the explore cards, though this one is a tick below auto-play because of how badly it fares on defense. It's still a good card, and one you will play almost every time, but in a control deck you can't always afford to spend 4 mana on a creature with a mostly offensive slant.",black,xln,,,
Dire Fleet Ravager,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378926/large/Dire-Fleet-Ravager-Ixalan-Spoiler.png?1505253898,3.5,,"While this does ravage your life total as well as the opponent's, if you play this while you have the initiative it does a ton of work. A 4/4 menace deathtouch is a beater, and blocking it means losing two solid creatures, while being very exposed to combat tricks. If I see this early I'm taking it and drafting aggro, and I'd still play it in all but the most controlling decks.",black,xln,,,
Duress,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378002/large/145251_200w.jpg?1504822902,0.5,,"Like Spell Pierce, this is another Constructed staple that's relegated to sideboard duty in Limited. The odds of whiffing are just too high to maindeck this, though it can be effective against spell-heavy decks.",black,xln,common,,
Fathom Fleet Captain,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375447/large/142011_200w.jpg?1503948926,3.5,,"Not only is a 2/1 menace for 2 a good deal on its face, this snowballs out of control quickly if you can enable it. I can't fathom not picking this early, and even later in the Draft it's worth trying to make work. Plus, the fail case is so good that you can run this with as few as 1-2 other Pirates and feel good about it.",black,xln,,,
Fathom Fleet Cutthroat,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379445/large/145786_200w.jpg?1505504671,2,,"This existing will greatly increase the success rate of bluff attacks, as sending 1/1s into 3/3s looks mighty suspicious. Given the raid mechanic, it's good to keep people on their toes, and this does a lot of work even if you don't have it in your hand (or deck). That said, the ability is solid, though definitely on the aggressive side, and it won't go off against crafty opponents as often as you'd like. This also is a card you can side out after showing it to the opponent, as it will impact their play in subsequent games.",black,xln,,,
